Token: ID, Lexema: hola, Línea: 56, Columna: 37, Tabla: VARIABLES
Token: COMMA, Lexema: null, Línea: 56, Columna: 41, Tabla: N/A
Token: TRUE, Lexema: true, Línea: 56, Columna: 43, Tabla: PALABRAS_RESERVADAS
Token: COMMA, Lexema: null, Línea: 56, Columna: 47, Tabla: N/A
Token: STRING_LITERAL, Lexema: hola mundo, Línea: 56, Columna: 49, Tabla: N/A
Token: COMMA, Lexema: null, Línea: 56, Columna: 61, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 4.5, Línea: 56, Columna: 63, Tabla: N/A
Token: COMMA, Lexema: null, Línea: 56, Columna: 66, Tabla: N/A
Token: CHAR_LITERAL, Lexema: a, Línea: 56, Columna: 68, Tabla: N/A
Token: RPAREN, Lexema: null, Línea: 56, Columna: 72, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 56, Columna: 74, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 56, Columna: 76, Tabla: N/A
Token: ID, Lexema: fl1, Línea: 57, Columna: 3, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 57, Columna: 7, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 4.5, Línea: 57, Columna: 9, Tabla: N/A
Token: MOD, Lexema: null, Línea: 57, Columna: 12, Tabla: N/A
Token: ID, Lexema: miChar, Línea: 57, Columna: 13, Tabla: VARIABLES
Token: POW, Lexema: null, Línea: 57, Columna: 19, Tabla: N/A
Token: MINUS, Lexema: null, Línea: 57, Columna: 21, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 0.005, Línea: 57, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 57, Columna: 27, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 57, Columna: 29, Tabla: N/A
Token: ID, Lexema: miFunc, Línea: 58, Columna: 3, Tabla: VARIABLES
Token: LPAREN, Lexema: null, Línea: 58, Columna: 10, Tabla: N/A
Token: ID, Lexema: miFunc, Línea: 58, Columna: 12, Tabla: VARIABLES
Token: LPAREN, Lexema: null, Línea: 58, Columna: 19, Tabla: N/A
Token: RPAREN, Lexema: null, Línea: 58, Columna: 22, Tabla: N/A
Token: COMMA, Lexema: null, Línea: 58, Columna: 24, Tabla: N/A
Token: CHAR_LITERAL, Lexema: a, Línea: 58, Columna: 25, Tabla: N/A
Token: RPAREN, Lexema: null, Línea: 58, Columna: 29, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 58, Columna: 31, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 58, Columna: 33, Tabla: N/A
Token: BOOL, Lexema: null, Línea: 59, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: bl0, Línea: 59, Columna: 8, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 59, Columna: 12, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 6.7, Línea: 59, Columna: 14, Tabla: N/A
Token: NEQ, Lexema: null, Línea: 59, Columna: 18, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 8.9, Línea: 59, Columna: 21, Tabla: N/A
