Token: FLOAT, Lexema: FLOAT, Línea: 54, Columna: 26, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: a, Línea: 54, Columna: 32, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 54, Columna: 33, Tabla: N/A
Token: FLOAT, Lexema: FLOAT, Línea: 54, Columna: 35, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b, Línea: 54, Columna: 41, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 54, Columna: 43, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 54, Columna: 45, Tabla: N/A
Token: FLOAT, Lexema: FLOAT, Línea: 55, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 55, Columna: 11, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 55, Columna: 21, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 0.0, Línea: 55, Columna: 23, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 55, Columna: 26, Tabla: N/A
Token: ID, Lexema: resultado, Línea: 57, Columna: 5, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 57, Columna: 15, Tabla: N/A
Token: ID, Lexema: a, Línea: 57, Columna: 17, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 57, Columna: 19, Tabla: N/A
Token: ID, Lexema: b, Línea: 57, Columna: 21, Tabla: VARIABLES
Token: TIMES, Lexema: TIMES, Línea: 57, Columna: 23, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 2.5, Línea: 57, Columna: 25, Tabla: N/A
Token: MINUS, Lexema: MINUS, Línea: 57, Columna: 29, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 1.0, Línea: 57, Columna: 31, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 57, Columna: 34, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 58, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 58, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Suma compleja:, Línea: 58, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 58, Columna: 30, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 58, Columna: 32, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 59, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 59, Columna: 11, Tabla: N/A
Token: ID, Lexema: resultado, Línea: 59, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 59, Columna: 23, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 59, Columna: 25, Tabla: N/A
Token: ID, Lexema: resultado, Línea: 61, Columna: 5, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 61, Columna: 15, Tabla: N/A
Token: ID, Lexema: a, Línea: 61, Columna: 17, Tabla: VARIABLES
Token: POW, Lexema: POW, Línea: 61, Columna: 19, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 3.0, Línea: 61, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 61, Columna: 25, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 62, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 62, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Potencia:, Línea: 62, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 62, Columna: 25, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 62, Columna: 27, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 63, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 63, Columna: 11, Tabla: N/A
Token: ID, Lexema: resultado, Línea: 63, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 63, Columna: 23, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 63, Columna: 25, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 65, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: mayor, Línea: 65, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 65, Columna: 16, Tabla: N/A
Token: ID, Lexema: a, Línea: 65, Columna: 18, Tabla: VARIABLES
Token: GT, Lexema: GT, Línea: 65, Columna: 20, Tabla: N/A
Token: ID, Lexema: b, Línea: 65, Columna: 22, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 65, Columna: 23, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 66, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: igual, Línea: 66, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 66, Columna: 16, Tabla: N/A
Token: ID, Lexema: a, Línea: 66, Columna: 18, Tabla: VARIABLES
Token: EQ, Lexema: EQ, Línea: 66, Columna: 20, Tabla: N/A
Token: ID, Lexema: b, Línea: 66, Columna: 23, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 66, Columna: 24, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 67, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: diferente, Línea: 67, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 67, Columna: 20, Tabla: N/A
Token: ID, Lexema: a, Línea: 67, Columna: 22, Tabla: VARIABLES
Token: NEQ, Lexema: NEQ, Línea: 67, Columna: 24, Tabla: N/A
