Token: RPAREN, Lexema: RPAREN, Línea: 33, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 33, Columna: 15, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 34, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 34, Columna: 8, Tabla: N/A
Token: TRUE, Lexema: true, Línea: 34, Columna: 10, Tabla: PALABRAS_RESERVADAS
Token: RPAREN, Lexema: RPAREN, Línea: 34, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 34, Columna: 17, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 35, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 35, Columna: 8, Tabla: N/A
Token: MINUS, Lexema: MINUS, Línea: 35, Columna: 10, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 6.7, Línea: 35, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 35, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 35, Columna: 17, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 37, Columna: 2, Tabla: N/A
